frame_index,component_id,length,centroid_x,centroid_y
20,7,52.0,91.61538461538461,301.4807692307692
20,8,114.0,52.1140350877193,357.5
20,9,54.0,231.74074074074073,384.5
21,1,175.0,39.92,70.22285714285714
21,2,51.0,297.37254901960785,116.0
21,3,30.0,43.266666666666666,146.3
21,4,32.0,178.34375,179.5
21,5,78.0,90.76923076923077,233.5
21,6,54.0,91.27777777777777,301.5
21,7,117.0,52.837606837606835,359.54700854700855
22,1,151.0,39.58278145695364,71.33112582781457
22,2,49.0,297.2244897959184,116.0
22,3,39.0,177.92307692307693,177.0
22,4,82.0,91.47560975609755,231.3048780487805
22,5,53.0,91.58490566037736,302.0
22,6,114.0,52.70175438596491,358.5
23,1,145.0,39.95172413793104,68.34482758620689
23,2,52.0,297.09615384615387,116.5
23,3,57.0,277.0175438596491,151.0
23,4,39.0,178.5897435897436,177.0
23,5,75.0,91.68,231.54666666666665
23,6,52.0,92.75,304.5
23,7,110.0,51.836363636363636,356.5
24,1,157.0,39.745222929936304,70.12101910828025
24,2,50.0,297.52,114.5
24,3,43.0,279.06976744186045,143.97674418604652
24,4,25.0,42.2,146.24
24,5,44.0,178.36363636363637,180.29545454545453
24,6,43.0,100.13953488372093,212.41860465116278
24,7,58.0,92.96551724137932,305.5
24,8,108.0,51.52777777777778,355.5
25,1,167.0,39.449101796407184,66.91017964071857
25,2,49.0,297.6326530612245,116.0
25,3,67.0,281.1044776119403,130.98507462686567
25,4,43.0,178.67441860465115,178.93023255813952
25,5,42.0,100.38095238095238,212.5
25,6,61.0,93.90163934426229,308.0
25,7,113.0,52.7787610619469,360.9911504424779
26,1,152.0,39.13157894736842,72.91447368421052
26,2,48.0,297.4166666666667,113.52083333333333
26,3,57.0,279.49122807017545,140.0
26,4,59.0,176.76271186440678,181.3050847457627
26,5,117.0,87.17948717948718,241.17094017094018
26,6,56.0,91.53571428571429,301.5
26,7,109.0,52.84403669724771,361.0
27,1,146.0,38.84931506849315,75.36986301369863
27,2,56.0,297.14285714285717,119.5
27,3,66.0,278.6363636363636,143.5
27,4,66.0,176.66666666666666,182.65151515151516
27,5,61.0,85.22950819672131,245.0
27,6,54.0,91.68518518518519,301.5
27,7,101.0,52.05940594059406,359.0
28,1,142.0,40.45774647887324,69.94366197183099
28,2,55.0,297.6,118.0
28,3,58.0,279.2931034482759,139.5
28,4,54.0,175.59259259259258,189.16666666666666
28,5,65.0,94.63076923076923,225.0
28,6,86.0,96.94186046511628,317.24418604651163
28,7,103.0,51.407766990291265,359.0
29,1,181.0,39.49723756906077,79.65193370165746
29,2,52.0,297.4423076923077,115.48076923076923
29,3,69.0,87.69565217391305,240.0
29,4,54.0,93.14814814814815,305.5
29,5,111.0,52.67567567567568,361.990990990991
30,1,162.0,39.69753086419753,75.82716049382717
30,2,46.0,297.30434782608694,114.5
30,3,42.0,283.3809523809524,121.5
30,4,71.0,97.28169014084507,219.0
30,5,54.0,91.81481481481481,301.5
30,6,110.0,53.17272727272727,360.5090909090909
31,1,156.0,39.91025641025641,74.62179487179488
31,2,49.0,297.18367346938777,115.0
31,3,51.0,280.05882352941177,137.0
31,4,27.0,44.0,144.92592592592592
31,5,46.0,178.41304347826087,176.5
31,6,61.0,95.37704918032787,224.0
31,7,56.0,92.67857142857143,303.5
31,8,111.0,54.3963963963964,357.0
32,1,170.0,39.970588235294116,68.24117647058823
32,2,53.0,297.62264150943395,115.0
32,3,35.0,45.42857142857143,144.4857142857143
32,4,51.0,99.09803921568627,213.49019607843138
32,5,54.0,92.16666666666667,302.5
32,6,118.0,55.30508474576271,355.5
33,1,182.0,40.07142857142857,72.41758241758242
33,2,44.0,297.65909090909093,110.5
33,3,72.0,277.9166666666667,147.5
33,4,32.0,44.9375,144.8125
33,5,33.0,178.12121212121212,180.0
33,6,67.0,86.82089552238806,242.43283582089552
33,7,52.0,92.0576923076923,301.5
33,8,116.0,54.26724137931034,351.5
34,1,166.0,41.40963855421687,68.57831325301204
34,2,39.0,297.79487179487177,114.02564102564102
34,3,39.0,177.5897435897436,181.0
34,4,41.0,80.70731707317073,256.3658536585366
34,5,56.0,92.76785714285714,303.5
34,6,160.0,53.575,342.175
35,1,168.0,41.160714285714285,68.5952380952381
35,2,48.0,297.5625,114.5
35,3,83.0,279.12048192771084,141.0
35,4,25.0,48.88,143.2
35,5,52.0,91.96153846153847,230.09615384615384
35,6,62.0,92.58064516129032,302.7096774193548
35,7,128.0,54.4765625,350.3359375
36,1,164.0,41.048780487804876,70.46951219512195
36,2,53.0,297.0377358490566,117.0
36,3,58.0,282.0,129.5
36,4,26.0,48.38461538461539,143.19230769230768
36,5,56.0,178.19642857142858,175.35714285714286
36,6,73.0,77.65753424657534,249.42465753424656
36,7,56.0,91.69642857142857,301.5
36,8,139.0,54.697841726618705,352.45323741007195
37,1,154.0,41.08441558441559,67.75324675324676
37,2,52.0,297.1923076923077,116.5
37,3,73.0,279.26027397260276,139.0
37,4,46.0,44.41304347826087,144.32608695652175
37,5,69.0,87.66666666666667,240.0
37,6,56.0,91.03571428571429,300.5
37,7,133.0,54.51127819548872,352.98496240601503
38,1,167.0,40.616766467065865,66.83233532934132
38,2,50.0,297.24,114.5
